Sigla,Nome do evento,Link da SOL,número de edições,Ano da primeira edição ou idade do evento,CE associada,ultima edição,H5,H5 Link
DSW,Dataset Showcase Workshop (DSW),https://sol.sbc.org.br/index.php/dsw/issue/archive,5,2017,CE-BD,2023,6,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Dataset+Showcase+Workshop&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
EDUCOMP,Simpósio Brasileiro de Educação em Computação,https://sol.sbc.org.br/index.php/educomp,4,2021,CE-EduComp,2024,7,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=9d69RZLoOs8J.2024
ENCompIF,Encontro Nacional de Computação dos Institutos Federais,https://sol.sbc.org.br/index.php/encompif,11,2013,CSBC,2024,3,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Encontro+Nacional+de+Computa%C3%A7%C3%A3o+dos+Institutos+Federais&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
ENIAC,Encontro Nacional de Inteligência Artificial e Computacional,https://sol.sbc.org.br/index.php/eniac,20,1997,CE-IA e CE-IC,2023,9,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=DoEKONL9f1YJ.2024
ETC,Encontro de Teoria da Computação,https://sol.sbc.org.br/index.php/etc,9,2016,CE-ACO,2024,2,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=S-FAvH1rAgcJ.2024
IHC,Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais,https://sol.sbc.org.br/index.php/ihc,22,1998,CE-IHC,2023,13,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=YC7yoNYrtdAJ.2024
ISE,Workshop Brasileiro de Engenharia de Software Inteligente (ISE),https://sol.sbc.org.br/index.php/ise/issue/archive,3,2021,CE-ES,2023,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+Brasileiro+de+Engenharia+de+Software+Inteligente&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
KDMiLe,"Symposium on Knowledge Discovery, Mining and Learning (KDMiLe)",https://sol.sbc.org.br/index.php/kdmile/issue/archive,11,,,2023,5,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Symposium+on+Knowledge+Discovery%2C+Mining+and+Learning&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
LADC,Latin American Dependable Computing,https://sol.sbc.org.br/index.php/ladc,12,,,2023,7,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=Uge8gmLMz5wJ.2024
LARS,Latin American Robotics Symposium,https://sol.sbc.org.br/index.php/sbrlars,19,,,2022,14,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Latin+American+Robotics+Symposium&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
MSSiS,Workshop em Modelagem e Simulação de Sistemas Intensivos em Software (MSSiS),https://sol.sbc.org.br/index.php/mssis/issue/archive,5,,,2023,3,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+em+Modelagem+e+Simula%C3%A7%C3%A3o+de+Sistemas+Intensivos+em+Software&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
OpenScienSE,Workshop de Práticas de Ciência Aberta para Engenharia de Software (OpenScienSE),https://sol.sbc.org.br/index.php/opensciense/issue/archive,3,,,2023,3,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+de+Pr%C3%A1ticas+de+Ci%C3%AAncia+Aberta+para+Engenharia+de+Software&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
SAFELIFE,"Workshop on Safety, Security, and Privacy in Complex Artificial Intelligence based Systems (Safelife)",https://sol.sbc.org.br/index.php/safelife/issue/archive,3,,,2023,---,---
SAST,Simpósio Brasileiro de Teste de Software Sistemático e Automatizado,https://sol.sbc.org.br/index.php/sast,8,,,2023,8,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Brazilian+Symposium+on+Systematic+and+Automated+Software+Testing&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
SBAC-PAD,International Symposium on Computer Architecture and High Performance Computing,https://sol.sbc.org.br/index.php/sbac-pad/issue/archive,35,,,2023,12,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=xujU2BmpDawJ.2024
