Sigla,Nome do evento,Siglas Alternativas,Nomes Alternativos,Sociedade,Avaliação SBC,SBC-CE,Anais,Anais Link,GS Link,DBLP Link
SAS,IEEE Sensors Applications Symposium,,Static Analysis Symposium|nan,,Top20,CE-LP,,nan,uB4PZkdP_ikJ,sas
SAST,Brazilian Symposium on Systematic and Automated Software Testing,,nan,,Top20,CE-ES|CE-TF,,https://sol.sbc.org.br/index.php/sast,,sast
SAT,International Conference on Theory and Applications of Satisfiability Testing,,nan,,Top20,CE-L,,nan,Ydp6NbVxpcEJ,sat
SBAC-PAD,International Symposium on Computer Architecture and High Performance Computing,,SBAC-PAD - International Symposium on Computer Architecture and High Performance Computing|nan,,Recommended,CE-ACPAD|CE-RV|CE-TF,,https://sol.sbc.org.br/index.php/sbac-pad,xujU2BmpDawJ,sbac-pad
SBACPADW,International Symposium on Computer Architecture and High Performance Computing Workshop,,,,,,,,,
SBAI,Simpósio Brasileiro de Automação Inteligente,,nan,,Recommended,CE-RV,,nan,poyWVKlO8ggJ,
SBBD,Simpósio Brasileiro de Banco de Dados,,Brazilian Symposium on Databases|Simpósio Brasileiro de Bancos de Dados|nan,,Top10,CE-BD|CE-Geoinformatica,,https://sol.sbc.org.br/index.php/sbbd/issue/archive,ixetonJUY2YJ,sbbd
SBCARS,"Brazilian Symposium on Components, Architectures and Reuse Software",,nan,,Top10,CE-ES,,https://sol.sbc.org.br/index.php/sbcars,,sbcars
SBCAS,Simpósio Brasileiro de Computação Aplicada à Saúde,,nan,,Top20,CE-CAS,,https://sol.sbc.org.br/index.php/sbcas/issue/archive,FToOQu3w6DQJ,
SBCCI,Symposium on Integrated Circuits and Systems Design,,SBC/SBMicro/IEEE/ACM Symposium on Integrated Circuits and Systems Design|SBCCI - Symposium on Integrated Circuits and Systems Design|nan,,Top20,CE-CCI|CE-RV,,nan,ce7ecw4OEFoJ,sbcci
SBCM,Simpósio Brasileiro de Computação Musical,,Simpósio Brasileiro em Computação Musical|nan,,Top10,CE-CM|CE-RV,,nan,,
SBCUP,Simpósio Brasileiro de Computação Ubíqua e Pervasiva,,nan,,Recommended,CE-WEBMEDIA,,https://sol.sbc.org.br/index.php/sbcup,KIaJcB9oivgJ,
SBES,Brazilian Symposium on Software Engineering,,nan,,Top10,CE-ES,,https://sol.sbc.org.br/index.php/sbes,rXEm9Hzg5P8J,sbes
SBESC,Brazilian Symposium on Computing Systems Engineering,,Brazilian Symposium on Computing System Engineering|nan,,Top10,CE-ACPAD|CE-ESC|CE-TF,,nan,EA9qTFRFeoUJ,sbesc
SBGAMES,Simpósio Brasileiro de Jogos e Entretenimento Digital,,,,,,,,,
SBIAGRO,Congresso Brasileiro de Agroinformática,,,,,,,,,
SBIE,Simpósio Brasileiro de Informática na Educação,,Brazilian Symposium on Computers in Education|Brazilian Symposium on Computers in Education (Simpósio Brasileiro de Informática na Educação-SBIE)|nan,,Recommended,CE-EDUCOMP|CE-IE|CE-IHC|CE-RV,,https://sol.sbc.org.br/index.php/sbie,DMcB-6XAVukJ,
SBLP,Brazilian Symposium on Programming Languages,,nan,,Top10,CE-LP,,nan,,sblp
SBMF,Brazilian Symposium on Formal Methods,,Simpósio Brasileiro de Métodos Formais|nan,,Top10,CE-ES|CE-MF,,nan,,sbmf
SBMICRO,Symposium on Microelectronics Technology and Devices,,,,,,,,,
SBPO,Simpósio Brasileiro de Pesquisa Operacional,,nan,SOBRAPO,CE-ACO Relevante 2024,CE-ACO|CE-IC,,nan,,
SBQS,Simpósio Brasileiro de Qualidade de Software,,Brazilian Symposium on Software Quality,,Top10,CE-ES,,nan,21lpMhOn5OMJ,sbqs
SBRC,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos,,nan,,Top20,CE-RESD|CE-TF,,https://dblp.org/db/conf/sbrc/index.html,3vnP2ksW2eAJ,sbrc
SBrT,Simpósio Brasileiro de Telecomunicações e Processamento de Sinais,,nan,,Recommended,CE-RESD,,nan,,
SBSC,Simpósio Brasileiro de Sistemas Colaborativos,,SBSC - Simpósio Brasileiro de Sistemas Colaborativos|nan,,Top10,CE-SC,,https://sol.sbc.org.br/index.php/sbsc,,
SBSeg,Simpósio Brasileiro de Segurança da Informação e de Sistemas Computacionais,,Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais|nan,,Top20,CE-SEG|CE-TF,,https://sol.sbc.org.br/index.php/sbseg,Dsyl66B8iM0J.2024. O SBSeg é o principal evento de Segurança da informação e Sistemas Computacionais do país.,sbsi
SBSI,Simpósio Brasileiro de Sistemas de Informação,,Brazilian Symposium on Information Systems|Brazilian Symposium on Information Systems (SBSI)|nan,,Recommended,CE-ES|CE-IA|CE-IHC|CE-SI,,https://sol.sbc.org.br/index.php/sbsi,2ENJOr-ESPQJ,sbsi
SBSR,Simpósio Brasileiro de Sensoriamento Remoto,,nan,,Top20,CE-Geoinformatica,,nan,,
SBTI,Simpósio Brasileiro de Tecnologia da Informação,,nan,,Recommended,CE-SI,,nan,,
SC,"International Conference for High Performance Computing, Networking, Storage and Analysis",,nan,,Top10,CE-ACPAD,,nan,s_dKfSWgBmwJ,sc
SCA,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,,ACM SIGGRAPH / Eurographics Symposium on Computer Animation|nan,,Top20,CE-GRAPI|CE-RV,,nan,,sca
SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,,nan,,Top20,CE-ES|CE-LP,,nan,m0WHmETFb4sJ,scam
SCCTSA,"International Workshop on Smart City Clouds: Technologies, Systems and Applications",,,,,,,,,
SciVis,IEEE Scientific Visualization,,nan,,Recommended,CE-RV,,nan,,scivis
SCOPES,Software and Compilers for Embedded Systems,,nan,,Recommended,CE-LP,,nan,,scopes
SDM,SIAM International Conference on Data Mining,,nan,,Recommended,CE-BD|CE-IC,,nan,eM05sD1nEv4J,sdm
SDPC,"International Conference on Sensing, Diagnostics, Prognostics, and Control",,,,,,,,,
SDS,International Conference on Software Defined Systems,,,,,,,,,
SE4Science,International Workshop on Software Engineering for Science,,,,,,,,,
SEA,International Symposium on Experimental Algorithms,,nan,,Top20,CE-ACO,,nan,5mM2zjnIDtwJ,wea
SEAA,Euromicro Conference on Software Engineering and Advanced Applications,,nan,,Recommended,CE-ES,,nan,q4lhGCNkc40J,euromicro
SeAC,Workshop on Self-Aware Computing,,,,,,,,,
