sigla,titulo,h5
PacificVis,IEEE Pacific Visualization Symposium,19.0
PACIS,Pacific Asia Conference on Information Systems (PACIS),25.0
PACTT,International Conference on Parallel Architectures and Compilation Techniques (PACT),22.0
PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining (PAKDD),33.0
PAM,International Conference on Passive and Active Network Measurement,21.0
PDC,Participatory Design Conference,23.0
PDP,"Euromicro International Conference on Parallel, Distributed and Network-Based Processing",15.0
PervasiveHealth,EAI International Conference on Pervasive Computing Technologies for Healthcare,14.0
PIMRC,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications",28.0
PKC,International Conference on Practice and Theory in Public Key Cryptography,37.0
PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI),51.0
PLOP,European Conference on Pattern Languages of Programs,14.0
PODC,ACM Symposium on Principles of Distributed Computing (PODC),30.0
PODS,ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems,22.0
PPAM,International Conference on Parallel Processing and Applied Mathematics (PPAM),5.0
PPSN,International Conference on Parallel Problem Solving from Nature,22.0
PRDC,Pacific Rim International Symposium on Dependable Computing,14.0
PROPOR,International Conference on Computational Processing of the Portuguese Language,13.0
PSB,Pacific Symposium on Biocomputing,24.0
QoMEX,International Workshop on Quality of Multimedia Experience,24.0
QUATIC,International Conference on the Quality of Information and Communications Technology,16.0
RADECS,European Conference on Radiation and Its Effects on Components and Systems,7.0
RAID,"International Symposium on Research in Attacks, Intrusions, and Defenses",28.0
RCAR,IEEE International Conference on Real-time Computing and Robotics,14.0
RE,IEEE International Requirements Engineering Conference,32.0
RECOMB,International Conference on Research in Computational Molecular Biology,21.0
RECSYS,ACM Conference on Recommender Systems,57.0
RICE,International Conference on Research in Intelligent and Computing in Engineering,4.0
RO-MAN,IEEE International Symposium on Robot and Human Interactive Communication,34.0
ROBIO,IEEE International Conference on Robotics and Biomimetics,14.0
ROBOCUP,RoboCup International Symposium,9.0
RoboSoft,IEEE International Conference on Soft Robotics,29.0
ROBOT,Iberian Robotics Conference,8.0
RSS,Robotics: Science and Systems,83.0
RTAS,IEEE Real-Time and Embedded Technology and Applications Symposium,25.0
RTCSA,IEEE International Conference on Embedded and Real-Time Computing Systems and Applications (RTCSA),13.0
RTSS,IEEE International Real-Time Systems Symposium (RTSS),23.0
SAC,ACM Symposium on Applied Computing,37.0
SACI,IEEE International Symposium on Applied Computational Intelligence and Informatics (SACI),17.0
SACMAT,ACM Symposium on Access Control Models and Technologies (SACMAT),16.0
SAFECOMP,"International Conference on Computer Safety, Reliability, and Security",20.0
SAS,IEEE Sensors Applications Symposium (SAS),15.0
SBAC-PAD,"International Symposium on Computer Architecture and High Performance Computing, SBAC-PAD",14.0
SBAI,Simpósio Brasileiro de Automação Inteligente-SBAI,4.0
